id,0.1_100_7_tarantula,0.1_100_7_ochiai,0.1_100_7_D_star,0.1_100_7_Op2,0.1_100_7_Barinel,0.1_100_7_time,0.1_200_7_tarantula,0.1_200_7_ochiai,0.1_200_7_D_star,0.1_200_7_Op2,0.1_200_7_Barinel,0.1_200_7_time,0.1_500_7_tarantula,0.1_500_7_ochiai,0.1_500_7_D_star,0.1_500_7_Op2,0.1_500_7_Barinel,0.1_500_7_time,0.1_1000_7_tarantula,0.1_1000_7_ochiai,0.1_1000_7_D_star,0.1_1000_7_Op2,0.1_1000_7_Barinel,0.1_1000_7_time,0.1_2000_7_tarantula,0.1_2000_7_ochiai,0.1_2000_7_D_star,0.1_2000_7_Op2,0.1_2000_7_Barinel,0.1_2000_7_time
47352366.0,0.0,0.0,0.0,0.0,0.0,97.17677545547485,0.0,0.0,0.0,0.0,0.0,163.723886013031,0.0,0.0,0.0,0.0,0.0,394.6326262950897,0.0,0.0,0.0,0.0,0.0,901.7297587394714,0.0,0.0,0.0,0.0,0.0,1251.5298297405243
47241622.0,1.0,1.0,1.0,1.0,1.0,14.227615118026733,1.0,1.0,1.0,1.0,1.0,13.978516817092896,1.0,1.0,1.0,1.0,1.0,14.044670820236206,1.0,1.0,1.0,1.0,1.0,15.890825271606445,1.0,1.0,1.0,1.0,1.0,13.940696716308594
46995209.0,1.0,1.0,1.0,1.0,1.0,2.0653185844421387,1.0,1.0,1.0,1.0,1.0,1.8573060035705566,1.0,1.0,1.0,1.0,1.0,1.8074944019317627,1.0,1.0,1.0,1.0,1.0,2.1897969245910645,1.0,1.0,1.0,1.0,1.0,1.8563873767852783
46869312.0,0.0,0.0,0.0,0.0,0.0,24.378342628479004,0.0,0.0,0.0,0.0,0.0,21.59338927268982,0.0,0.0,0.0,0.0,0.0,21.9952609539032,0.0,0.0,0.0,0.0,0.0,25.28995704650879,0.0,0.0,0.0,0.0,0.0,21.608949661254883
46642627.0,0.0,0.0,0.0,0.0,0.0,10.29041075706482,0.0,0.0,0.0,0.0,0.0,8.988883972167969,0.0,0.0,0.0,0.0,0.0,8.808162212371826,0.0,0.0,0.0,0.0,0.0,10.184971570968628,0.0,0.0,0.0,0.0,0.0,8.967056035995483
46247619.0,0.0,0.0,0.0,0.0,0.0,21.466166734695435,0.0,0.0,0.0,0.0,0.0,36.187289237976074,0.0,0.0,0.0,0.0,0.0,79.7868287563324,0.0,0.0,0.0,0.0,0.0,177.59403157234192,0.0,0.0,0.0,0.0,0.0,247.5358111858368
45378493.0,1.0,1.0,1.0,1.0,1.0,0.8506038188934326,1.0,1.0,1.0,1.0,1.0,0.8636839389801025,1.0,1.0,1.0,1.0,1.0,0.8724019527435303,1.0,1.0,1.0,1.0,1.0,0.9819464683532715,1.0,1.0,1.0,1.0,1.0,0.8863563537597656
45337371.0,1.0,1.0,0.0,1.0,1.0,0.10517740249633789,1.0,1.0,0.0,1.0,1.0,0.08415341377258301,1.0,1.0,0.0,1.0,1.0,0.09316754341125488,1.0,1.0,0.0,1.0,1.0,0.09753227233886719,1.0,1.0,0.0,1.0,1.0,0.08813285827636719
44758894.0,1.0,1.0,1.0,1.0,1.0,0.21586966514587402,1.0,1.0,1.0,1.0,1.0,0.17501139640808105,1.0,1.0,1.0,1.0,1.0,0.18691778182983398,1.0,1.0,1.0,1.0,1.0,0.2612450122833252,1.0,1.0,1.0,1.0,1.0,0.18011999130249023
44755431.0,0.0,0.0,0.0,0.0,0.0,100.89845943450928,0.0,0.0,0.0,0.0,0.0,156.65918636322021,0.0,0.0,0.0,0.0,0.0,360.0446512699127,0.0,0.0,0.0,0.0,0.0,744.7830464839935,0.0,0.0,0.0,0.0,0.0,1100.0769720077515
